NODES: 21556
MATERIALS: 1
THICKNESSES: 1
ELEMENTS_T3: 0
ELEMENTS_T6: 0
ELEMENTS_T10: 4738                 
FORCES: 18
PRESSURES: 0
DISPLACEMENTS: 18

NODE X Y
1 -5.00000000 -5.00000000
2 -4.74358974 -5.00000000
3 -4.48717949 -5.00000000
4 -4.23076923 -5.00000000
5 -3.97435897 -5.00000000
6 -3.71794872 -5.00000000
7 -3.46153846 -5.00000000
8 -3.20512821 -5.00000000
9 -2.94871795 -5.00000000
10 -2.69230769 -5.00000000
11 -2.43589744 -5.00000000
12 -2.17948718 -5.00000000
13 -1.92307692 -5.00000000
14 -1.66666667 -5.00000000
15 -1.41025641 -5.00000000
16 -1.15384615 -5.00000000
17 -0.89743590 -5.00000000
18 -0.64102564 -5.00000000
19 -0.38461538 -5.00000000
20 -0.12820513 -5.00000000
21 0.12820513 -5.00000000
22 0.38461538 -5.00000000
23 0.64102564 -5.00000000
24 0.89743590 -5.00000000
25 1.15384615 -5.00000000
26 1.41025641 -5.00000000
27 1.66666667 -5.00000000
28 1.92307692 -5.00000000
29 2.17948718 -5.00000000
30 2.43589744 -5.00000000
31 2.69230769 -5.00000000
32 2.94871795 -5.00000000
33 3.20512821 -5.00000000
34 3.46153846 -5.00000000
35 3.71794872 -5.00000000
36 3.97435897 -5.00000000
37 4.23076923 -5.00000000
38 4.48717949 -5.00000000
39 4.74358974 -5.00000000
40 5.00000000 -5.00000000
41 5.00000000 -4.74358974
42 5.00000000 -4.48717949
43 5.00000000 -4.23076923
44 5.00000000 -3.97435897
45 5.00000000 -3.71794872
46 5.00000000 -3.46153846
47 5.00000000 -3.20512821
48 5.00000000 -2.94871795
49 5.00000000 -2.69230769
50 5.00000000 -2.43589744
51 5.00000000 -2.17948718
52 5.00000000 -1.92307692
53 5.00000000 -1.66666667
54 5.00000000 -1.41025641
55 5.00000000 -1.15384615
56 5.00000000 -0.89743590
57 5.00000000 -0.64102564
58 5.00000000 -0.38461538
59 5.00000000 -0.12820513
60 5.00000000 0.12820513
61 5.00000000 0.38461538
62 5.00000000 0.64102564
63 5.00000000 0.89743590
